time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-1059.3,3682.18,-46.7772,0,0,-101.658,26.7482,0,0,0,1.75
0.01,-1059.35,3681.92,-46.7772,-0.0184091,-0.00590122,-101.66,26.7622,-3.59604,-1.1527,-0.292658,1.77379
0.02,-1059.41,3681.66,-46.7771,-0.0719081,-0.0230955,-101.664,26.7765,-7.02225,-2.25908,-0.578557,1.79726
0.03,-1059.46,3681.39,-46.777,-0.158815,-0.0511066,-101.671,26.7911,-10.2823,-3.31504,-0.858258,1.82041
0.04,-1059.52,3681.13,-46.7766,-0.277484,-0.0894247,-101.681,26.806,-13.38,-4.31712,-1.13227,1.84324
0.05,-1059.57,3680.87,-46.7761,-0.426305,-0.137513,-101.693,26.8211,-16.319,-5.26258,-1.40105,1.86577
0.06,-1059.63,3680.61,-46.7753,-0.603704,-0.194815,-101.708,26.8366,-19.103,-6.14944,-1.66498,1.88798
0.07,-1059.68,3680.34,-46.7743,-0.808144,-0.26076,-101.725,26.8523,-21.7359,-6.97652,-1.92439,1.9099
0.08,-1059.73,3680.08,-46.7729,-1.03813,-0.334772,-101.745,26.8685,-24.2214,-7.74336,-2.17954,1.93152
0.09,-1059.79,3679.82,-46.7711,-1.29219,-0.416277,-101.766,26.8849,-26.5633,-8.4502,-2.43063,1.95284
0.1,-1059.84,3679.55,-46.769,-1.56891,-0.504706,-101.79,26.9017,-28.7653,-9.09786,-2.67783,1.97387
0.11,-1059.9,3679.29,-46.7664,-1.86689,-0.599502,-101.815,26.9189,-30.8313,-9.68766,-2.92124,1.99462
0.12,-1059.95,3679.03,-46.7633,-2.1848,-0.700124,-101.842,26.9364,-32.765,-10.2213,-3.16094,2.01509
0.13,-1060.01,3678.76,-46.7598,-2.52132,-0.806052,-101.87,26.9543,-34.5701,-10.7009,-3.39698,2.03527
0.14,-1060.07,3678.5,-46.7557,-2.87517,-0.916786,-101.9,26.9726,-36.2504,-11.1287,-3.62937,2.05519
0.15,-1060.12,3678.24,-46.7511,-3.24512,-1.03185,-101.932,26.9913,-37.8095,-11.5072,-3.85812,2.07483
0.16,-1060.18,3677.97,-46.746,-3.62997,-1.15079,-101.964,27.0104,-39.2512,-11.8388,-4.0832,2.0942
0.17,-1060.23,3677.71,-46.7403,-4.02857,-1.27318,-101.998,27.0299,-40.579,-12.1261,-4.3046,2.11332
0.18,-1060.29,3677.44,-46.734,-4.43977,-1.39863,-102.033,27.0497,-41.7967,-12.3717,-4.52228,2.13217
0.19,-1060.35,3677.18,-46.7271,-4.86251,-1.52675,-102.069,27.07,-42.9077,-12.5782,-4.73621,2.15076
0.2,-1060.4,3676.91,-46.7195,-5.29572,-1.65719,-102.106,27.0906,-43.9157,-12.748,-4.94633,2.16911
