time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-3385.02,-3949.7,-30.2655,0,0,-145.017,26.7074,0,0,0,1.75
0.01,-3385.24,-3949.85,-30.2655,-0.0214667,-0.00607457,-145.019,26.7212,-4.19333,-1.18653,-0.44408,1.72621
0.02,-3385.46,-3950.01,-30.2654,-0.0838649,-0.0237732,-145.026,26.7348,-8.19128,-2.32482,-0.877864,1.70274
0.03,-3385.68,-3950.16,-30.2653,-0.185284,-0.052603,-145.037,26.7482,-12.003,-3.41013,-1.30212,1.67959
0.04,-3385.9,-3950.31,-30.2649,-0.323898,-0.0920354,-145.052,26.7614,-15.637,-4.43843,-1.71753,1.65676
0.05,-3386.12,-3950.47,-30.2644,-0.497967,-0.141513,-145.07,26.7745,-19.1018,-5.40654,-2.12473,1.63423
0.06,-3386.34,-3950.62,-30.2636,-0.705828,-0.200456,-145.093,26.7874,-22.4051,-6.31215,-2.52426,1.61202
0.07,-3386.56,-3950.77,-30.2625,-0.945895,-0.268272,-145.119,26.8002,-25.5546,-7.15387,-2.91657,1.5901
0.08,-3386.78,-3950.93,-30.2611,-1.21665,-0.344364,-145.149,26.813,-28.5572,-7.93112,-3.30204,1.56848
0.09,-3387,-3951.08,-30.2593,-1.51666,-0.428135,-145.182,26.8256,-31.42,-8.64409,-3.68099,1.54716
0.1,-3387.22,-3951.23,-30.257,-1.84453,-0.518998,-145.218,26.8382,-34.1494,-9.29362,-4.05366,1.52613
0.11,-3387.44,-3951.39,-30.2544,-2.19896,-0.616379,-145.257,26.8507,-36.7516,-9.88113,-4.42026,1.50538
0.12,-3387.66,-3951.54,-30.2513,-2.57869,-0.719721,-145.299,26.8632,-39.2326,-10.4084,-4.78091,1.48491
0.13,-3387.88,-3951.69,-30.2476,-2.98253,-0.82849,-145.343,26.8756,-41.598,-10.8777,-5.13573,1.46473
0.14,-3388.1,-3951.84,-30.2435,-3.40933,-0.942176,-145.39,26.8881,-43.8532,-11.2914,-5.48479,1.44481
0.15,-3388.32,-3952,-30.2388,-3.85801,-1.06029,-145.439,26.9005,-46.0033,-11.6521,-5.82814,1.42517
0.16,-3388.54,-3952.15,-30.2335,-4.32753,-1.18238,-145.491,26.913,-48.0532,-11.9623,-6.16581,1.4058
0.17,-3388.76,-3952.3,-30.2277,-4.8169,-1.30802,-145.544,26.9254,-50.0076,-12.2249,-6.49782,1.38668
0.18,-3388.99,-3952.45,-30.2212,-5.32518,-1.43679,-145.6,26.9379,-51.8709,-12.4425,-6.82415,1.36783
0.19,-3389.21,-3952.61,-30.2141,-5.85148,-1.56832,-145.657,26.9505,-53.6475,-12.6176,-7.14481,1.34924
0.2,-3389.43,-3952.76,-30.2065,-6.39494,-1.70226,-145.716,26.963,-55.3412,-12.753,-7.45979,1.33089
0.21,-3389.65,-3952.91,-30.1981,-6.95474,-1.83828,-145.777,26.9756,-56.9561,-12.8509,-7.76906,1.3128
0.22,-3389.88,-3953.06,-30.1891,-7.52979,-1.97607,-145.84,26.9883,-58.4346,-12.9139,-8.07261,1.29495
0.23,-3390.1,-3953.21,-30.1795,-8.11874,-2.11536,-145.904,27.001,-59.7795,-12.9441,-8.37041,1.27735
0.24,-3390.32,-3953.36,-30.1692,-8.72027,-2.25588,-145.969,27.0138,-60.9955,-12.9438,-8.66243,1.25998
0.25,-3390.55,-3953.51,-30.1582,-9.3331,-2.39739,-146.036,27.0266,-62.0871,-12.9149,-8.94866,1.24285
0.26,-3390.77,-3953.67,-30.1466,-9.95601,-2.53967,-146.104,27.0395,-63.0588,-12.8594,-9.22904,1.22596
0.27,-3391,-3953.82,-30.1343,-10.5878,-2.6825,-146.173,27.0525,-63.915,-12.7791,-9.50357,1.20929
0.28,-3391.22,-3953.97,-30.1213,-11.2274,-2.82571,-146.244,27.0656,-64.66,-12.6758,-9.7722,1.19285
