time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-1279.33,3060.64,32.4516,0,0,50.4052,32.5699,0,0,0,1.75
0.01,-1279.12,3060.89,32.4516,-0.00459482,0.00829676,50.4049,32.582,-0.897548,1.62069,-0.0543963,1.72621
0.02,-1278.91,3061.14,32.4515,-0.0179507,0.0324839,50.4041,32.5938,-1.75316,3.17959,-0.107451,1.70274
0.03,-1278.71,3061.39,32.4512,-0.0396545,0.0719475,50.4028,32.6053,-2.56791,4.67753,-0.159051,1.67959
0.04,-1278.5,3061.64,32.4506,-0.069304,0.126082,50.4009,32.6165,-3.34285,6.11539,-0.209096,1.65676
0.05,-1278.29,3061.9,32.4497,-0.106508,0.19429,50.3984,32.6273,-4.07904,7.49406,-0.257495,1.63423
0.06,-1278.08,3062.15,32.4484,-0.150887,0.275983,50.3954,32.6378,-4.77756,8.81443,-0.304171,1.61202
0.07,-1277.87,3062.4,32.4466,-0.202071,0.370583,50.3919,32.648,-5.43944,10.0774,-0.349057,1.5901
0.08,-1277.67,3062.65,32.4441,-0.259702,0.477518,50.3877,32.6577,-6.06576,11.284,-0.392099,1.56848
0.09,-1277.46,3062.9,32.4411,-0.323434,0.596228,50.383,32.667,-6.65755,12.4351,-0.433254,1.54716
0.1,-1277.25,3063.15,32.4373,-0.392929,0.726162,50.3776,32.6759,-7.21587,13.5317,-0.47249,1.52613
0.11,-1277.04,3063.41,32.4328,-0.467863,0.866778,50.3717,32.6844,-7.74176,14.5747,-0.509787,1.50538
0.12,-1276.83,3063.66,32.4274,-0.547921,1.01754,50.365,32.6924,-8.23625,15.5652,-0.545136,1.48491
0.13,-1276.62,3063.91,32.4212,-0.632799,1.17794,50.3578,32.6999,-8.70038,16.5042,-0.578536,1.46473
0.14,-1276.42,3064.16,32.414,-0.722204,1.34744,50.3498,32.7069,-9.13516,17.3926,-0.609998,1.44481
0.15,-1276.21,3064.41,32.4058,-0.815853,1.52556,50.3412,32.7134,-9.5416,18.2315,-0.639543,1.42517
0.16,-1276,3064.66,32.3965,-0.913474,1.71181,50.3318,32.7195,-9.92071,19.0219,-0.667198,1.4058
0.17,-1275.79,3064.92,32.3862,-1.01481,1.90569,50.3217,32.725,-10.2735,19.7649,-0.693002,1.38668
0.18,-1275.58,3065.17,32.3747,-1.11959,2.10673,50.3109,32.73,-10.6009,20.4613,-0.716998,1.36783
0.19,-1275.37,3065.42,32.3621,-1.2276,2.31449,50.2994,32.7344,-10.9039,21.1124,-0.739239,1.34924
0.2,-1275.16,3065.67,32.3483,-1.33859,2.5285,50.2871,32.7383,-11.1834,21.7191,-0.759785,1.33089
0.21,-1274.95,3065.92,32.3332,-1.45234,2.74832,50.274,32.7416,-11.4404,22.2825,-0.778699,1.3128
0.22,-1274.75,3066.17,32.3169,-1.56864,2.97353,50.2602,32.7444,-11.6759,22.8035,-0.796052,1.29495
0.23,-1274.54,3066.43,32.2992,-1.68729,3.2037,50.2456,32.7466,-11.8906,23.2834,-0.811919,1.27735
0.24,-1274.33,3066.68,32.2803,-1.80808,3.43842,50.2302,32.7483,-12.0855,23.723,-0.826381,1.25998
0.25,-1274.12,3066.93,32.26,-1.93084,3.6773,50.214,32.7493,-12.2615,24.1234,-0.839521,1.24285
0.26,-1273.91,3067.18,32.2383,-2.05539,3.91995,50.1971,32.7498,-12.4194,24.4857,-0.851425,1.22596
