time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-3884.24,1540.75,-11.4805,0,0,119.251,26.628,0,0,0,1.75
0.01,-3884.37,1540.98,-11.4805,-0.0214668,-0.00354554,119.249,26.6418,-4.19333,-0.692518,-0.366861,1.72621
0.02,-3884.5,1541.21,-11.4805,-0.0838659,-0.0138842,119.243,26.6554,-8.19128,-1.35831,-0.725153,1.70274
0.03,-3884.63,1541.45,-11.4804,-0.185288,-0.0307598,119.234,26.6688,-12.003,-1.99733,-1.07539,1.67959
0.04,-3884.76,1541.68,-11.4802,-0.323913,-0.0539226,119.222,26.682,-15.637,-2.60956,-1.41805,1.65676
0.05,-3884.89,1541.91,-11.4798,-0.498001,-0.0831287,119.206,26.695,-19.1018,-3.19503,-1.75359,1.63423
0.06,-3885.02,1542.15,-11.4794,-0.705897,-0.11814,119.188,26.7079,-22.4051,-3.7538,-2.08243,1.61202
0.07,-3885.15,1542.38,-11.4787,-0.946018,-0.158722,119.166,26.7205,-25.5546,-4.28598,-2.40496,1.5901
0.08,-3885.28,1542.61,-11.4779,-1.21674,-0.204647,119.141,26.7331,-28.5342,-4.79168,-2.72153,1.56848
0.09,-3885.41,1542.85,-11.4768,-1.51636,-0.255691,119.113,26.7455,-31.3443,-5.27106,-3.03247,1.54716
0.1,-3885.54,1543.08,-11.4755,-1.84319,-0.311633,119.083,26.7577,-33.9894,-5.72429,-3.33809,1.52613
0.11,-3885.67,1543.31,-11.4739,-2.19561,-0.372257,119.05,26.7699,-36.4741,-6.15159,-3.63864,1.50538
0.12,-3885.8,1543.55,-11.472,-2.57202,-0.43735,119.015,26.7819,-38.803,-6.55317,-3.93436,1.48491
0.13,-3885.93,1543.78,-11.4698,-2.97089,-0.506703,118.977,26.7939,-40.9806,-6.9293,-4.22545,1.46473
0.14,-3886.06,1544.02,-11.4673,-3.39072,-0.58011,118.938,26.8058,-43.0114,-7.28025,-4.51209,1.44481
0.15,-3886.19,1544.25,-11.4644,-3.83005,-0.657366,118.896,26.8176,-44.8999,-7.60631,-4.79443,1.42517
0.16,-3886.32,1544.49,-11.4611,-4.28748,-0.738273,118.852,26.8293,-46.6504,-7.9078,-5.0726,1.4058
0.17,-3886.45,1544.72,-11.4574,-4.76164,-0.822632,118.807,26.841,-48.2674,-8.18505,-5.34668,1.38668
0.18,-3886.58,1544.96,-11.4534,-5.25121,-0.910249,118.759,26.8527,-49.7552,-8.43842,-5.61677,1.36783
0.19,-3886.71,1545.19,-11.4489,-5.75492,-1.00093,118.71,26.8643,-51.118,-8.66828,-5.8829,1.34924
0.2,-3886.84,1545.43,-11.444,-6.27153,-1.0945,118.659,26.8759,-52.36,-8.87501,-6.14512,1.33089
0.21,-3886.97,1545.66,-11.4386,-6.79985,-1.19075,118.607,26.8874,-53.4855,-9.05902,-6.40344,1.3128
0.22,-3887.09,1545.9,-11.4328,-7.33873,-1.28952,118.554,26.899,-54.4985,-9.22073,-6.65787,1.29495
0.23,-3887.22,1546.14,-11.4265,-7.88706,-1.39061,118.499,26.9105,-55.4031,-9.36058,-6.90837,1.27735
0.24,-3887.35,1546.37,-11.4198,-8.44377,-1.49386,118.442,26.922,-56.2032,-9.47901,-7.15492,1.25998
0.25,-3887.48,1546.61,-11.4125,-9.00784,-1.59909,118.385,26.9336,-56.9028,-9.57649,-7.39748,1.24285
0.26,-3887.61,1546.85,-11.4047,-9.57826,-1.70613,118.326,26.9451,-57.5057,-9.6535,-7.63599,1.22596
0.27,-3887.74,1547.08,-11.3964,-10.1541,-1.81482,118.266,26.9567,-58.0157,-9.71052,-7.87039,1.20929
0.28,-3887.86,1547.32,-11.3876,-10.7344,-1.92498,118.205,26.9682,-58.4365,-9.74805,-8.1006,1.19285
0.29,-3887.99,1547.56,-11.3783,-11.3183,-2.03647,118.143,26.9798,-58.7718,-9.7666,-8.32654,1.17663
0.3,-3888.12,1547.8,-11.3685,-11.9051,-2.14913,118.08,26.9915,-59.0252,-9.7667,-8.54813,1.16064
0.31,-3888.24,1548.03,-11.3581,-12.4937,-2.2628,118.016,27.0031,-59.2001,-9.74887,-8.76528,1.14486
0.32,-3888.37,1548.27,-11.3471,-13.0836,-2.37734,117.951,27.0148,-59.3,-9.71366,-8.97789,1.12929
0.33,-3888.5,1548.51,-11.3357,-13.674,-2.4926,117.885,27.0265,-59.3282,-9.6616,-9.18587,1.11394
0.34,-3888.62,1548.75,-11.3236,-14.2641,-2.60845,117.818,27.0383,-59.2881,-9.59324,-9.38912,1.0988
0.35,-3888.75,1548.99,-11.3111,-14.8532,-2.72474,117.75,27.0501,-59.1829,-9.50915,-9.58756,1.08386
0.36,-3888.87,1549.23,-11.2979,-15.4409,-2.84135,117.681,27.062,-59.0156,-9.40988,-9.78108,1.06912
0.37,-3889,1549.47,-11.2842,-16.0263,-2.95815,117.612,27.0739,-58.7895,-9.296,-9.96959,1.05459
0.38,-3889.13,1549.71,-11.27,-16.6091,-3.07501,117.541,27.0859,-58.5074,-9.16807,-10.153,1.04025
0.39,-3889.25,1549.95,-11.2552,-17.1885,-3.19182,117.469,27.0979,-58.1723,-9.02666,-10.3313,1.02611
0.4,-3889.37,1550.19,-11.2398,-17.7641,-3.30846,117.397,27.11,-57.7871,-8.87233,-10.5042,1.01216
0.41,-3889.5,1550.43,-11.2239,-18.3355,-3.42482,117.323,27.1221,-57.3545,-8.70565,-10.6719,0.998398
0.42,-3889.62,1550.67,-11.2074,-18.902,-3.5408,117.248,27.1343,-56.8772,-8.52719,-10.8341,0.984825
0.43,-3889.75,1550.91,-11.1904,-19.4634,-3.65628,117.173,27.1466,-56.3579,-8.33751,-10.9909,0.971437
0.44,-3889.87,1551.15,-11.1728,-20.0192,-3.77118,117.096,27.1589,-55.799,-8.13716,-11.1421,0.95823
0.45,-3889.99,1551.39,-11.1546,-20.5689,-3.88539,117.019,27.1713,-55.2032,-7.9267,-11.2878,0.945203
0.46,-3890.12,1551.63,-11.1359,-21.1123,-3.99884,116.94,27.1837,-54.5728,-7.70668,-11.4278,0.932353
0.47,-3890.24,1551.88,-11.1167,-21.649,-4.11142,116.861,27.1962,-53.9101,-7.47764,-11.5622,0.919677
0.48,-3890.36,1552.12,-11.097,-22.1787,-4.22307,116.78,27.2088,-53.2175,-7.24012,-11.6909,0.907174
0.49,-3890.48,1552.36,-11.0766,-22.7011,-4.33369,116.698,27.2214,-52.4971,-6.99465,-11.8139,0.894841
0.5,-3890.61,1552.6,-11.0558,-23.2159,-4.44323,116.616,27.2341,-51.7511,-6.74174,-11.9312,0.882676
0.51,-3890.73,1552.85,-11.0345,-23.7229,-4.55159,116.532,27.2468,-50.9814,-6.4819,-12.0427,0.870676
0.52,-3890.85,1553.09,-11.0126,-24.2219,-4.65873,116.447,27.2596,-50.1902,-6.21564,-12.1485,0.858839
0.53,-3890.97,1553.33,-10.9902,-24.7126,-4.76456,116.36,27.2725,-49.3793,-5.94345,-12.2486,0.847163
0.54,-3891.09,1553.58,-10.9673,-25.1948,-4.86904,116.273,27.2854,-48.5507,-5.66581,-12.343,0.835646
0.55,-3891.21,1553.82,-10.9439,-25.6684,-4.97211,116.185,27.2984,-47.706,-5.38318,-12.4318,0.824285
0.56,-3891.33,1554.06,-10.9199,-26.1332,-5.0737,116.095,27.3115,-46.8471,-5.09603,-12.5149,0.813079
0.57,-3891.45,1554.31,-10.8956,-26.5891,-5.17377,116.004,27.3246,-45.9756,-4.80481,-12.5924,0.802025
0.58,-3891.57,1554.55,-10.8707,-27.0359,-5.27228,115.912,27.3377,-45.0931,-4.50994,-12.6644,0.791122
0.59,-3891.69,1554.8,-10.8453,-27.4736,-5.36917,115.819,27.3509,-44.2012,-4.21185,-12.7309,0.780367
0.6,-3891.81,1555.04,-10.8195,-27.9021,-5.4644,115.724,27.3642,-43.3013,-3.91095,-12.7919,0.769758
0.61,-3891.92,1555.29,-10.7932,-28.3213,-5.55794,115.628,27.3775,-42.3949,-3.60764,-12.8476,0.759293
0.62,-3892.04,1555.54,-10.7665,-28.7311,-5.64974,115.531,27.3909,-41.4834,-3.30229,-12.898,0.74897
0.63,-3892.16,1555.78,-10.7393,-29.1315,-5.73978,115.433,27.4043,-40.568,-2.99528,-12.9432,0.738788
0.64,-3892.28,1556.03,-10.7116,-29.5224,-5.82801,115.333,27.4178,-39.65,-2.68697,-12.9833,0.728744
0.65,-3892.39,1556.27,-10.6836,-29.9039,-5.91442,115.232,27.4313,-38.7306,-2.3777,-13.0183,0.718837
0.66,-3892.51,1556.52,-10.6551,-30.2759,-5.99897,115.13,27.4448,-37.811,-2.0678,-13.0484,0.709064
0.67,-3892.62,1556.77,-10.6262,-30.6384,-6.08163,115.027,27.4584,-36.8923,-1.75759,-13.0737,0.699424
0.68,-3892.74,1557.02,-10.5969,-30.9914,-6.16239,114.922,27.4721,-35.9755,-1.44739,-13.0942,0.689916
0.69,-3892.85,1557.26,-10.5673,-31.3351,-6.24122,114.816,27.4857,-35.0615,-1.13746,-13.1101,0.680536
0.7,-3892.97,1557.51,-10.5372,-31.6693,-6.31811,114.708,27.4994,-34.1514,-0.828114,-13.1215,0.671284
0.71,-3893.08,1557.76,-10.5067,-31.9941,-6.39303,114.6,27.5132,-33.246,-0.519601,-13.1285,0.662158
0.72,-3893.2,1558.01,-10.4759,-32.3097,-6.46597,114.49,27.527,-32.3462,-0.21218,-13.1312,0.653156
0.73,-3893.31,1558.26,-10.4447,-32.616,-6.53692,114.379,27.5408,-31.4527,0.0939043,-13.1298,0.644277
0.74,-3893.42,1558.51,-10.4132,-32.9131,-6.60586,114.266,27.5546,-30.5664,0.398422,-13.1243,0.635518
0.75,-3893.53,1558.76,-10.3813,-33.2011,-6.67279,114.152,27.5685,-29.6879,0.701152,-13.1149,0.626878
0.76,-3893.65,1559.01,-10.3491,-33.4801,-6.73769,114.037,27.5823,-28.818,1.00189,-13.1018,0.618355
0.77,-3893.76,1559.26,-10.3166,-33.7502,-6.80056,113.921,27.5962,-27.9572,1.30043,-13.085,0.609949
0.78,-3893.87,1559.51,-10.2838,-34.0114,-6.8614,113.804,27.6101,-27.1062,1.59659,-13.0646,0.601657
0.79,-3893.98,1559.76,-10.2507,-34.2639,-6.92019,113.685,27.6241,-26.2654,1.8902,-13.0409,0.593477
0.8,-3894.09,1560.01,-10.2172,-34.5078,-6.97694,113.565,27.638,-25.4355,2.18109,-13.014,0.585409
0.81,-3894.2,1560.26,-10.1835,-34.7432,-7.03164,113.444,27.652,-24.6168,2.4691,-12.9839,0.57745
0.82,-3894.31,1560.51,-10.1495,-34.9702,-7.08429,113.322,27.6659,-23.8098,2.75409,-12.9508,0.5696
0.83,-3894.42,1560.77,-10.1153,-35.189,-7.1349,113.198,27.6799,-23.015,3.03592,-12.9148,0.561856
0.84,-3894.52,1561.02,-10.0808,-35.3996,-7.18346,113.074,27.6939,-22.2327,3.31446,-12.8762,0.554218
0.85,-3894.63,1561.27,-10.046,-35.6022,-7.22998,112.948,27.7079,-21.4632,3.5896,-12.8349,0.546683
0.86,-3894.74,1561.53,-10.011,-35.797,-7.27447,112.821,27.7218,-20.7069,3.86122,-12.7912,0.539251
0.87,-3894.84,1561.78,-9.97582,-35.984,-7.31693,112.693,27.7358,-19.964,4.12922,-12.7452,0.53192
0.88,-3894.95,1562.03,-9.94039,-36.1634,-7.35736,112.564,27.7498,-19.2347,4.39351,-12.697,0.524688
0.89,-3895.06,1562.29,-9.90475,-36.3354,-7.39578,112.434,27.7637,-18.5194,4.65399,-12.6467,0.517555
