time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0.43,-3889.72,1550.84,-11.1849,-9.84383,-3.71897,117.299,26.8211,-40.3787,-10.0581,-9.06035,1.30102
0.44,-3889.85,1551.08,-11.1672,-10.2458,-3.83319,117.227,26.8261,-40.9652,-9.91067,-9.18703,1.28807
0.45,-3889.97,1551.32,-11.149,-10.6533,-3.94665,117.153,26.8311,-41.5401,-9.75279,-9.31023,1.27526
0.46,-3890.09,1551.56,-11.1303,-11.0664,-4.05926,117.079,26.8363,-42.1037,-9.58485,-9.4299,1.26257
0.47,-3890.21,1551.79,-11.111,-11.4846,-4.17094,117.005,26.8415,-42.6,-9.40727,-9.54604,1.25
0.48,-3890.33,1552.03,-11.0912,-11.9071,-4.28161,116.929,26.8467,-43.0215,-9.22047,-9.65861,1.23757
0.49,-3890.46,1552.27,-11.0709,-12.3334,-4.39119,116.853,26.852,-43.3712,-9.02485,-9.7676,1.22525
0.5,-3890.58,1552.51,-11.0501,-12.7625,-4.49962,116.777,26.8574,-43.6522,-8.82083,-9.87296,1.21306
0.51,-3890.7,1552.75,-11.0288,-13.194,-4.60683,116.699,26.8628,-43.8676,-8.60884,-9.97469,1.20099
0.52,-3890.82,1552.99,-11.0069,-13.6271,-4.71275,116.621,26.8683,-44.0202,-8.38927,-10.0727,1.18904
0.53,-3890.94,1553.23,-10.9846,-14.0612,-4.81732,116.542,26.8739,-44.1131,-8.16255,-10.1671,1.17721
0.54,-3891.06,1553.47,-10.9618,-14.4958,-4.92047,116.463,26.8795,-44.149,-7.92909,-10.2578,1.1655
0.55,-3891.18,1553.71,-10.9385,-14.9302,-5.02217,116.383,26.8851,-44.1306,-7.68929,-10.3447,1.1539
0.56,-3891.29,1553.95,-10.9147,-15.3641,-5.12234,116.302,26.8908,-44.0607,-7.44356,-10.4278,1.14242
0.57,-3891.41,1554.19,-10.8905,-15.7967,-5.22094,116.221,26.8966,-43.9418,-7.1923,-10.5072,1.13105
0.58,-3891.53,1554.43,-10.8658,-16.2278,-5.31793,116.138,26.9023,-43.7766,-6.9359,-10.5828,1.1198
0.59,-3891.65,1554.67,-10.8406,-16.6567,-5.41325,116.055,26.9082,-43.5674,-6.67476,-10.6547,1.10865
0.6,-3891.77,1554.91,-10.815,-17.0832,-5.50687,115.972,26.9141,-43.3167,-6.40927,-10.7227,1.09762
0.61,-3891.88,1555.15,-10.789,-17.5067,-5.59875,115.887,26.92,-43.0269,-6.13979,-10.787,1.0867
0.62,-3892,1555.39,-10.7625,-17.927,-5.68885,115.802,26.926,-42.7001,-5.86671,-10.8474,1.07589
0.63,-3892.12,1555.63,-10.7356,-18.3436,-5.77714,115.716,26.932,-42.3388,-5.59038,-10.9041,1.06518
0.64,-3892.23,1555.87,-10.7083,-18.7562,-5.86359,115.629,26.938,-41.9448,-5.31118,-10.957,1.05458
0.65,-3892.35,1556.12,-10.6806,-19.1645,-5.94817,115.542,26.9441,-41.5205,-5.02945,-11.0062,1.04409
0.66,-3892.46,1556.36,-10.6525,-19.5682,-6.03085,115.454,26.9502,-41.0677,-4.74552,-11.0517,1.0337
0.67,-3892.58,1556.6,-10.6239,-19.9671,-6.11161,115.364,26.9563,-40.5885,-4.45975,-11.0935,1.02342
0.68,-3892.69,1556.84,-10.5951,-20.3608,-6.19042,115.275,26.9625,-40.0847,-4.17245,-11.1316,1.01323
0.69,-3892.81,1557.08,-10.5658,-20.7491,-6.26728,115.184,26.9686,-39.5582,-3.88394,-11.1661,1.00315
0.7,-3892.92,1557.33,-10.5362,-21.1319,-6.34217,115.092,26.9748,-39.0107,-3.59453,-11.197,0.993171
0.71,-3893.04,1557.57,-10.5062,-21.5089,-6.41506,115,26.9811,-38.4439,-3.30451,-11.2244,0.983288
0.72,-3893.15,1557.81,-10.4759,-21.8799,-6.48595,114.906,26.9873,-37.8595,-3.01418,-11.2483,0.973505
0.73,-3893.26,1558.06,-10.4452,-22.2448,-6.55482,114.812,26.9936,-37.2591,-2.72382,-11.2688,0.963818
0.74,-3893.37,1558.3,-10.4143,-22.6034,-6.62168,114.717,26.9998,-36.6442,-2.4337,-11.2859,0.954228
0.75,-3893.49,1558.54,-10.383,-22.9556,-6.6865,114.621,27.0061,-36.0163,-2.14407,-11.2998,0.944733
0.76,-3893.6,1558.79,-10.3514,-23.3012,-6.7493,114.524,27.0124,-35.3767,-1.85519,-11.3103,0.935333
0.77,-3893.71,1559.03,-10.3195,-23.6402,-6.81005,114.427,27.0187,-34.7269,-1.5673,-11.3178,0.926026
0.78,-3893.82,1559.28,-10.2873,-23.9724,-6.86877,114.328,27.025,-34.0682,-1.28063,-11.3221,0.916812
0.79,-3893.93,1559.52,-10.2548,-24.2978,-6.92545,114.229,27.0313,-33.4018,-0.995397,-11.3234,0.90769
0.8,-3894.04,1559.77,-10.2221,-24.6163,-6.9801,114.129,27.0376,-32.7289,-0.71182,-11.3217,0.898658
