time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-2798.59,3844.02,22.3593,0,0,31.8217,31.9021,0,0,0,2
0.01,-2798.32,3844.19,22.3593,-0.00695361,0.00372917,31.8202,31.9016,-1.38609,0.743785,-0.286883,1.9801
0.02,-2798.05,3844.36,22.3592,-0.0276311,0.0148333,31.816,31.901,-2.74474,1.47528,-0.566551,1.9604
0.03,-2797.78,3844.52,22.3591,-0.0617624,0.0331876,31.8089,31.9001,-4.07648,2.19468,-0.839005,1.94089
0.04,-2797.51,3844.69,22.3589,-0.109084,0.0586672,31.7992,31.899,-5.38186,2.90219,-1.10425,1.92158
0.05,-2797.23,3844.86,22.3584,-0.169337,0.0911477,31.7867,31.8976,-6.66138,3.598,-1.3623,1.90246
0.06,-2796.96,3845.03,22.3578,-0.242272,0.130505,31.7717,31.896,-7.91557,4.28232,-1.61317,1.88353
0.07,-2796.69,3845.2,22.357,-0.327642,0.176616,31.7541,31.8941,-9.14492,4.95532,-1.85688,1.86479
0.08,-2796.42,3845.36,22.3559,-0.425208,0.229357,31.734,31.892,-10.3499,5.6172,-2.09346,1.84623
0.09,-2796.15,3845.53,22.3544,-0.534735,0.288605,31.7115,31.8896,-11.5311,6.26814,-2.32293,1.82786
0.1,-2795.88,3845.7,22.3526,-0.655994,0.35424,31.6864,31.8869,-12.6888,6.90832,-2.54535,1.80967
0.11,-2795.61,3845.87,22.3505,-0.788762,0.42614,31.659,31.8839,-13.8237,7.53792,-2.76075,1.79167
0.12,-2795.34,3846.03,22.3479,-0.932822,0.504184,31.6292,31.8806,-14.936,8.15712,-2.96919,1.77384
0.13,-2795.06,3846.2,22.3448,-1.08796,0.588254,31.597,31.877,-16.0264,8.76608,-3.17072,1.75619
0.14,-2794.79,3846.37,22.3413,-1.25397,0.678231,31.5624,31.8731,-17.0951,9.36497,-3.36541,1.73872
0.15,-2794.52,3846.54,22.3373,-1.43064,0.773997,31.5256,31.8688,-18.1427,9.95396,-3.55333,1.72142
0.16,-2794.25,3846.7,22.3327,-1.61778,0.875435,31.4864,31.8642,-19.1696,10.5332,-3.73456,1.70429
0.17,-2793.98,3846.87,22.3275,-1.8152,0.98243,31.445,31.8593,-20.1761,11.1029,-3.90919,1.68733
