time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-1059.3,3682.18,-46.7772,0,0,-101.658,26.7482,0,0,0,2
0.01,-1059.35,3681.92,-46.7772,-0.00695352,-0.00372934,-101.66,26.754,-1.38609,-0.743785,-0.2749,2.0199
0.02,-1059.41,3681.66,-46.7772,-0.0276297,-0.014836,-101.664,26.76,-2.74474,-1.47528,-0.542995,2.0396
0.03,-1059.46,3681.39,-46.777,-0.0617552,-0.033201,-101.67,26.7662,-4.07648,-2.19468,-0.804609,2.05911
0.04,-1059.52,3681.13,-46.7768,-0.109061,-0.058709,-101.68,26.7726,-5.38186,-2.90219,-1.06005,2.07842
0.05,-1059.57,3680.87,-46.7765,-0.169283,-0.0912483,-101.691,26.7793,-6.66138,-3.598,-1.30962,2.09754
0.06,-1059.62,3680.61,-46.776,-0.242161,-0.130711,-101.706,26.7862,-7.91557,-4.28232,-1.5536,2.11647
0.07,-1059.68,3680.34,-46.7753,-0.32744,-0.176991,-101.722,26.7934,-9.14492,-4.95532,-1.79227,2.13521
0.08,-1059.73,3680.08,-46.7743,-0.424868,-0.229987,-101.741,26.8008,-10.3499,-5.6172,-2.02587,2.15377
0.09,-1059.79,3679.82,-46.7731,-0.534198,-0.289599,-101.762,26.8085,-11.5311,-6.26814,-2.25467,2.17214
0.1,-1059.84,3679.56,-46.7716,-0.655187,-0.355733,-101.785,26.8165,-12.6888,-6.90832,-2.47889,2.19033
0.11,-1059.9,3679.3,-46.7697,-0.787598,-0.428293,-101.81,26.8248,-13.8237,-7.53792,-2.69876,2.20833
0.12,-1059.95,3679.03,-46.7676,-0.931196,-0.507189,-101.837,26.8333,-14.936,-8.15712,-2.91447,2.22616
0.13,-1060.01,3678.77,-46.765,-1.08575,-0.592332,-101.865,26.8422,-16.0264,-8.76608,-3.12622,2.24381
0.14,-1060.06,3678.51,-46.762,-1.25104,-0.683635,-101.896,26.8514,-17.0951,-9.36497,-3.33419,2.26128
0.15,-1060.12,3678.24,-46.7586,-1.42683,-0.781015,-101.928,26.861,-18.1427,-9.95396,-3.53855,2.27858
0.16,-1060.17,3677.98,-46.7547,-1.61292,-0.884388,-101.962,26.8708,-19.1696,-10.5332,-3.73945,2.29571
0.17,-1060.23,3677.72,-46.7503,-1.80909,-0.993674,-101.997,26.881,-20.1761,-11.1029,-3.93703,2.31267
0.18,-1060.29,3677.46,-46.7453,-2.01513,-1.1088,-102.033,26.8916,-21.1627,-11.6632,-4.13141,2.32946
0.19,-1060.34,3677.19,-46.7399,-2.23084,-1.22967,-102.071,26.9025,-22.1297,-12.2142,-4.32272,2.34608
0.2,-1060.4,3676.93,-46.7338,-2.45601,-1.35614,-102.11,26.9138,-23.0776,-12.7382,-4.51105,2.36254
0.21,-1060.46,3676.67,-46.7271,-2.69045,-1.48791,-102.15,26.9254,-24.0067,-13.2269,-4.69649,2.37883
0.22,-1060.51,3676.4,-46.7198,-2.93397,-1.62465,-102.192,26.9374,-24.9175,-13.6812,-4.87912,2.39496
0.23,-1060.57,3676.14,-46.7118,-3.18637,-1.76602,-102.234,26.9498,-25.8101,-14.1018,-5.05901,2.41093
0.24,-1060.63,3675.88,-46.7032,-3.44748,-1.91172,-102.277,26.9627,-26.6852,-14.4895,-5.2362,2.42674
0.25,-1060.68,3675.61,-46.6938,-3.71711,-2.06144,-102.321,26.9759,-27.5429,-14.8451,-5.41076,2.4424
0.26,-1060.74,3675.35,-46.6838,-3.99508,-2.21487,-102.366,26.9895,-28.3836,-15.1694,-5.5827,2.4579
0.27,-1060.8,3675.09,-46.673,-4.28123,-2.37173,-102.411,27.0035,-29.2076,-15.4633,-5.75206,2.47324
0.28,-1060.86,3674.82,-46.6614,-4.57538,-2.53156,-102.457,27.0179,-30.0154,-15.6944,-5.91732,2.48843
0.29,-1060.92,3674.56,-46.6491,-4.87737,-2.69345,-102.504,27.0327,-30.8071,-15.8026,-6.07516,2.50347
0.3,-1060.97,3674.3,-46.636,-5.18704,-2.85633,-102.552,27.0479,-31.5832,-15.8161,-6.22636,2.51836
0.31,-1061.03,3674.03,-46.6221,-5.50422,-3.01937,-102.6,27.0636,-32.3439,-15.7556,-6.37148,2.53311
0.32,-1061.09,3673.77,-46.6075,-5.82877,-3.18193,-102.648,27.0796,-33.0895,-15.6367,-6.511,2.5477
0.33,-1061.15,3673.5,-46.5921,-6.16053,-3.34349,-102.698,27.0961,-33.8204,-15.4715,-6.64527,2.56215
0.34,-1061.21,3673.24,-46.5759,-6.49935,-3.50365,-102.747,27.1129,-34.5368,-15.2692,-6.77461,2.57646
0.35,-1061.27,3672.98,-46.5589,-6.84509,-3.66209,-102.798,27.1302,-35.239,-15.0372,-6.89927,2.59062
0.36,-1061.33,3672.71,-46.5412,-7.19761,-3.81857,-102.849,27.1478,-35.9273,-14.7813,-7.01948,2.60465
0.37,-1061.39,3672.45,-46.5228,-7.55677,-3.97288,-102.9,27.1659,-36.602,-14.5064,-7.13542,2.61853
0.38,-1061.45,3672.18,-46.5036,-7.92234,-4.12487,-102.952,27.1843,-37.2457,-14.2164,-7.24726,2.63228
0.39,-1061.51,3671.92,-46.4837,-8.29378,-4.27441,-103.005,27.2031,-37.8099,-13.9144,-7.35515,2.64589
0.4,-1061.57,3671.66,-46.463,-8.6703,-4.42142,-103.058,27.2222,-38.2977,-13.6032,-7.45922,2.65936
0.41,-1061.64,3671.39,-46.4417,-9.05115,-4.56581,-103.112,27.2417,-38.7122,-13.2849,-7.55958,2.6727
0.42,-1061.7,3671.13,-46.4197,-9.43561,-4.70756,-103.166,27.2616,-39.0563,-12.9614,-7.65634,2.68591
0.43,-1061.76,3670.86,-46.397,-9.82301,-4.84661,-103.221,27.2818,-39.3332,-12.6343,-7.74959,2.69898
0.44,-1061.82,3670.6,-46.3736,-10.2127,-4.98296,-103.276,27.3024,-39.5455,-12.3049,-7.83942,2.71193
0.45,-1061.88,3670.33,-46.3495,-10.604,-5.1166,-103.332,27.3233,-39.6962,-11.9744,-7.92592,2.72474
0.46,-1061.95,3670.07,-46.3248,-10.9963,-5.24752,-103.388,27.3445,-39.7879,-11.6437,-8.00915,2.73743
0.47,-1062.01,3669.8,-46.2995,-11.3891,-5.37575,-103.445,27.3661,-39.8234,-11.3136,-8.0892,2.75
0.48,-1062.07,3669.54,-46.2736,-11.7818,-5.50129,-103.503,27.3879,-39.8054,-10.9849,-8.16612,2.76243
0.49,-1062.14,3669.27,-46.247,-12.1739,-5.62417,-103.561,27.4101,-39.7363,-10.6582,-8.23997,2.77475
0.5,-1062.2,3669.01,-46.2199,-12.5648,-5.74442,-103.619,27.4326,-39.6187,-10.334,-8.31083,2.78694
0.51,-1062.27,3668.74,-46.1921,-12.9542,-5.86206,-103.679,27.4554,-39.455,-10.0127,-8.37875,2.79901
0.52,-1062.33,3668.48,-46.1638,-13.3415,-5.97715,-103.738,27.4785,-39.2476,-9.69472,-8.44378,2.81096
0.53,-1062.4,3668.21,-46.1349,-13.7264,-6.0897,-103.799,27.5018,-38.9988,-9.38036,-8.50599,2.82279
0.54,-1062.46,3667.95,-46.1054,-14.1084,-6.19978,-103.86,27.5255,-38.7109,-9.06992,-8.56542,2.8345
0.55,-1062.53,3667.68,-46.0754,-14.4872,-6.3074,-103.921,27.5494,-38.386,-8.76363,-8.62213,2.8461
0.56,-1062.59,3667.41,-46.0449,-14.8624,-6.41263,-103.984,27.5736,-38.0263,-8.46169,-8.67617,2.85758
0.57,-1062.66,3667.15,-46.0138,-15.2336,-6.51549,-104.046,27.5981,-37.6338,-8.16426,-8.72759,2.86895
0.58,-1062.73,3666.88,-45.9823,-15.6005,-6.61605,-104.11,27.6228,-37.2105,-7.87149,-8.77644,2.8802
0.59,-1062.79,3666.62,-45.9502,-15.9629,-6.71434,-104.174,27.6478,-36.7584,-7.58349,-8.82277,2.89135
0.6,-1062.86,3666.35,-45.9176,-16.3205,-6.81042,-104.239,27.673,-36.2794,-7.30035,-8.86664,2.90238
0.61,-1062.93,3666.08,-45.8846,-16.6729,-6.90431,-104.304,27.6984,-35.7753,-7.02216,-8.90808,2.9133
0.62,-1063,3665.82,-45.851,-17.0201,-6.99609,-104.37,27.7241,-35.2478,-6.74896,-8.94715,2.92411
0.63,-1063.06,3665.55,-45.817,-17.3616,-7.08578,-104.437,27.7501,-34.6986,-6.48081,-8.98389,2.93482
0.64,-1063.13,3665.28,-45.7826,-17.6974,-7.17343,-104.504,27.7762,-34.1295,-6.21774,-9.01835,2.94542
0.65,-1063.2,3665.02,-45.7477,-18.0272,-7.25909,-104.572,27.8026,-33.5419,-5.95976,-9.05059,2.95591
0.66,-1063.27,3664.75,-45.7123,-18.3509,-7.3428,-104.64,27.8292,-32.9374,-5.70689,-9.08064,2.9663
0.67,-1063.34,3664.48,-45.6765,-18.6683,-7.42462,-104.709,27.856,-32.3176,-5.45913,-9.10855,2.97658
0.68,-1063.41,3664.22,-45.6403,-18.9792,-7.50457,-104.779,27.8831,-31.6838,-5.21647,-9.13437,2.98677
0.69,-1063.48,3663.95,-45.6037,-19.2836,-7.5827,-104.849,27.9103,-31.0374,-4.97889,-9.15815,2.99685
0.7,-1063.55,3663.68,-45.5667,-19.5813,-7.65906,-104.92,27.9377,-30.3797,-4.74638,-9.17993,3.00683
0.71,-1063.63,3663.41,-45.5292,-19.8721,-7.73369,-104.992,27.9654,-29.7119,-4.51891,-9.19976,3.01671
0.72,-1063.7,3663.14,-45.4914,-20.1561,-7.80662,-105.064,27.9932,-29.0355,-4.29645,-9.21768,3.0265
0.73,-1063.77,3662.88,-45.4532,-20.4331,-7.87789,-105.137,28.0212,-28.3513,-4.07896,-9.23373,3.03618
0.74,-1063.84,3662.61,-45.4146,-20.7031,-7.94755,-105.21,28.0494,-27.6607,-3.86641,-9.24797,3.04577
0.75,-1063.92,3662.34,-45.3756,-20.966,-8.01563,-105.284,28.0778,-26.9647,-3.65875,-9.26044,3.05527
0.76,-1063.99,3662.07,-45.3363,-21.2217,-8.08216,-105.358,28.1063,-26.2643,-3.45594,-9.27118,3.06467
0.77,-1064.06,3661.8,-45.2966,-21.4702,-8.14719,-105.433,28.135,-25.5604,-3.25793,-9.28022,3.07397
0.78,-1064.14,3661.54,-45.2565,-21.7115,-8.21075,-105.508,28.1639,-24.8541,-3.06466,-9.28763,3.08319
0.79,-1064.21,3661.27,-45.2162,-21.9456,-8.27287,-105.584,28.193,-24.1463,-2.87609,-9.29344,3.09231
0.8,-1064.29,3661,-45.1754,-22.1725,-8.33358,-105.661,28.2222,-23.4376,-2.69216,-9.29768,3.10134
0.81,-1064.36,3660.73,-45.1343,-22.3921,-8.39292,-105.738,28.2516,-22.7291,-2.51282,-9.30041,3.11028
0.82,-1064.44,3660.46,-45.0929,-22.6045,-8.45092,-105.815,28.2811,-22.0215,-2.338,-9.30167,3.11914
0.83,-1064.52,3660.19,-45.0512,-22.8097,-8.5076,-105.893,28.3108,-21.3154,-2.16765,-9.30149,3.1279
0.84,-1064.59,3659.92,-45.0092,-23.0077,-8.56301,-105.972,28.3407,-20.6116,-2.0017,-9.29991,3.13658
0.85,-1064.67,3659.65,-44.9668,-23.1985,-8.61716,-106.051,28.3706,-19.9108,-1.8401,-9.29699,3.14517
0.86,-1064.75,3659.38,-44.9242,-23.3822,-8.67009,-106.13,28.4008,-19.2135,-1.68279,-9.29274,3.15368
0.87,-1064.83,3659.11,-44.8812,-23.5588,-8.72182,-106.21,28.431,-18.5204,-1.52969,-9.28722,3.1621
0.88,-1064.9,3658.84,-44.8379,-23.7283,-8.77239,-106.29,28.4614,-17.832,-1.38076,-9.28045,3.17043
0.89,-1064.98,3658.57,-44.7944,-23.8909,-8.8218,-106.37,28.4919,-17.1489,-1.23592,-9.27249,3.17869
0.9,-1065.06,3658.3,-44.7506,-24.0466,-8.8701,-106.451,28.5226,-16.4714,-1.09511,-9.26335,3.18686
0.91,-1065.14,3658.03,-44.7064,-24.1953,-8.91731,-106.533,28.5534,-15.8001,-0.958273,-9.25309,3.19495
0.92,-1065.22,3657.76,-44.662,-24.3373,-8.96344,-106.614,28.5843,-15.1354,-0.825335,-9.24173,3.20296
0.93,-1065.3,3657.49,-44.6174,-24.4726,-9.00853,-106.696,28.6153,-14.4778,-0.696237,-9.22931,3.21089
0.94,-1065.39,3657.22,-44.5724,-24.6012,-9.05259,-106.778,28.6465,-13.8275,-0.570914,-9.21587,3.21874
0.95,-1065.47,3656.95,-44.5272,-24.7232,-9.09565,-106.861,28.6778,-13.1849,-0.449306,-9.20143,3.22652
0.96,-1065.55,3656.68,-44.4818,-24.8387,-9.13773,-106.944,28.7091,-12.5503,-0.331349,-9.18603,3.23421
0.97,-1065.63,3656.41,-44.436,-24.9479,-9.17885,-107.027,28.7406,-11.924,-0.216977,-9.1697,3.24183
0.98,-1065.72,3656.14,-44.3901,-25.0507,-9.21903,-107.111,28.7722,-11.3064,-0.106126,-9.15247,3.24938
0.99,-1065.8,3655.86,-44.3438,-25.1472,-9.25829,-107.194,28.8039,-10.6976,0.00126832,-9.13438,3.25685
1,-1065.88,3655.59,-44.2974,-25.2377,-9.29664,-107.278,28.8357,-10.0978,0.105271,-9.11544,3.26424
1.01,-1065.97,3655.32,-44.2507,-25.3221,-9.33412,-107.362,28.8677,-9.50726,0.205944,-9.0957,3.27156
1.02,-1066.05,3655.05,-44.2037,-25.4005,-9.37073,-107.447,28.8997,-8.92617,0.303352,-9.07517,3.27881
1.03,-1066.14,3654.78,-44.1566,-25.4732,-9.4065,-107.531,28.9318,-8.35467,0.397558,-9.05389,3.28599
1.04,-1066.23,3654.5,-44.1092,-25.54,-9.44144,-107.616,28.964,-7.7929,0.488622,-9.03188,3.29309
1.05,-1066.31,3654.23,-44.0615,-25.6012,-9.47557,-107.7,28.9963,-7.24098,0.576608,-9.00917,3.30012
1.06,-1066.4,3653.96,-44.0137,-25.6569,-9.50891,-107.785,29.0286,-6.69902,0.661577,-8.98578,3.30709
1.07,-1066.49,3653.69,-43.9656,-25.7072,-9.54147,-107.871,29.0611,-6.1671,0.743588,-8.96174,3.31398
1.08,-1066.58,3653.41,-43.9174,-25.7521,-9.57326,-107.956,29.0937,-5.64529,0.822704,-8.93707,3.32081
1.09,-1066.67,3653.14,-43.8689,-25.7917,-9.60431,-108.041,29.1263,-5.13365,0.898982,-8.91179,3.32757
1.1,-1066.75,3652.87,-43.8202,-25.8263,-9.63463,-108.126,29.159,-4.63222,0.972483,-8.88593,3.33426
