time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-1279.33,3060.64,32.4516,0,0,50.4052,32.5699,0,0,0,2
0.01,-1279.12,3060.89,32.4516,-0.00475352,0.00372924,50.4049,32.5686,-0.947544,0.743785,-0.0576371,1.9801
0.02,-1278.91,3061.14,32.4515,-0.018745,0.0148345,50.4041,32.5671,-1.84773,1.47528,-0.113775,1.9604
0.03,-1278.71,3061.39,32.4514,-0.0415081,0.0331935,50.4026,32.5653,-2.70192,2.19468,-0.168309,1.94089
0.04,-1278.5,3061.64,32.4512,-0.0725901,0.0586857,50.4007,32.5633,-3.51146,2.90219,-0.221147,1.92158
0.05,-1278.29,3061.89,32.4507,-0.111552,0.0911923,50.3982,32.5611,-4.27767,3.598,-0.272204,1.90246
0.06,-1278.08,3062.15,32.4501,-0.157968,0.130596,50.3951,32.5587,-5.00188,4.28232,-0.32141,1.88353
0.07,-1277.88,3062.4,32.4492,-0.211425,0.176782,50.3915,32.5559,-5.6854,4.95532,-0.368701,1.86479
0.08,-1277.67,3062.65,32.4481,-0.271525,0.229637,50.3874,32.553,-6.3295,5.6172,-0.414027,1.84623
0.09,-1277.46,3062.9,32.4466,-0.337881,0.289049,50.3827,32.5497,-6.93548,6.26814,-0.457347,1.82786
0.1,-1277.25,3063.15,32.4448,-0.41012,0.354908,50.3775,32.5461,-7.50457,6.90832,-0.498627,1.80967
0.11,-1277.05,3063.4,32.4426,-0.487881,0.427105,50.3717,32.5423,-8.03802,7.53792,-0.537846,1.79167
0.12,-1276.84,3063.65,32.4399,-0.570816,0.505534,50.3654,32.5381,-8.53707,8.15712,-0.57499,1.77384
0.13,-1276.63,3063.9,32.4368,-0.658589,0.59009,50.3586,32.5337,-9.00291,8.76608,-0.610055,1.75619
0.14,-1276.42,3064.15,32.4332,-0.750876,0.680669,50.3512,32.5289,-9.43673,9.36497,-0.643044,1.73872
0.15,-1276.22,3064.4,32.4291,-0.847366,0.777171,50.3433,32.5238,-9.8397,9.95396,-0.67397,1.72142
0.16,-1276.01,3064.65,32.4244,-0.947758,0.879494,50.3348,32.5184,-10.213,10.5332,-0.702852,1.70429
0.17,-1275.8,3064.9,32.4191,-1.05176,0.987542,50.3257,32.5126,-10.5577,11.1029,-0.729718,1.68733
0.18,-1275.59,3065.15,32.4132,-1.15911,1.10122,50.3161,32.5064,-10.8749,11.6632,-0.754601,1.67054
0.19,-1275.39,3065.4,32.4066,-1.26952,1.22042,50.3059,32.4999,-11.1658,12.2142,-0.777543,1.65392
0.2,-1275.18,3065.65,32.3993,-1.38276,1.34506,50.2952,32.4931,-11.4314,12.7561,-0.79859,1.63746
0.21,-1274.97,3065.9,32.3913,-1.49856,1.47505,50.2838,32.4859,-11.6728,13.289,-0.817796,1.62117
0.22,-1274.76,3066.15,32.3826,-1.6167,1.6103,50.2719,32.4782,-11.8909,13.8132,-0.835219,1.60504
0.23,-1274.56,3066.4,32.373,-1.73696,1.75071,50.2593,32.4703,-12.0868,14.3286,-0.850921,1.58907
0.24,-1274.35,3066.65,32.3627,-1.85913,1.89619,50.2461,32.4619,-12.2615,14.8356,-0.864973,1.57326
0.25,-1274.14,3066.9,32.3516,-1.98299,2.04667,50.2324,32.4531,-12.416,15.3342,-0.877446,1.5576
0.26,-1273.93,3067.15,32.3395,-2.10836,2.20206,50.218,32.4439,-12.5511,15.8245,-0.888416,1.5421
0.27,-1273.73,3067.4,32.3266,-2.23506,2.36227,50.203,32.4343,-12.6679,16.3067,-0.897965,1.52676
0.28,-1273.52,3067.65,32.3128,-2.3629,2.52722,50.1873,32.4242,-12.7672,16.781,-0.906176,1.51157
0.29,-1273.31,3067.9,32.298,-2.49173,2.69683,50.171,32.4138,-12.8498,17.2474,-0.913135,1.49653
0.3,-1273.1,3068.14,32.2823,-2.62139,2.87102,50.154,32.4029,-12.9167,17.7061,-0.918931,1.48164
