time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-3385.02,-3949.7,-30.2655,0,0,-145.017,26.7074,0,0,0,2
0.01,-3385.24,-3949.85,-30.2655,-0.00695352,-0.00372935,-145.018,26.713,-1.38609,-0.743785,-0.310555,1.9801
0.02,-3385.46,-3950.01,-30.2655,-0.0276296,-0.0148362,-145.023,26.7185,-2.74474,-1.47528,-0.617252,1.9604
0.03,-3385.68,-3950.16,-30.2653,-0.0617547,-0.033202,-145.031,26.7237,-4.07648,-2.19468,-0.92014,1.94089
0.04,-3385.9,-3950.31,-30.2651,-0.10906,-0.058712,-145.041,26.7288,-5.38186,-2.90219,-1.21926,1.92158
0.05,-3386.11,-3950.47,-30.2648,-0.169279,-0.0912557,-145.055,26.7338,-6.66138,-3.598,-1.51467,1.90246
0.06,-3386.33,-3950.62,-30.2643,-0.242153,-0.130726,-145.071,26.7386,-7.91557,-4.28232,-1.80641,1.88353
0.07,-3386.55,-3950.77,-30.2636,-0.327424,-0.17702,-145.091,26.7433,-9.14492,-4.95532,-2.09453,1.86479
0.08,-3386.77,-3950.92,-30.2626,-0.42484,-0.230038,-145.113,26.7479,-10.3499,-5.6172,-2.37906,1.84623
0.09,-3386.99,-3951.08,-30.2614,-0.534153,-0.289682,-145.137,26.7524,-11.5311,-6.26814,-2.66007,1.82786
0.1,-3387.21,-3951.23,-30.2599,-0.655118,-0.35586,-145.165,26.7568,-12.6888,-6.90832,-2.93758,1.80967
0.11,-3387.43,-3951.38,-30.2581,-0.787496,-0.428482,-145.195,26.7612,-13.8237,-7.53792,-3.21164,1.79167
0.12,-3387.65,-3951.54,-30.2559,-0.931049,-0.507459,-145.227,26.7655,-14.936,-8.15712,-3.4823,1.77384
0.13,-3387.87,-3951.69,-30.2533,-1.08555,-0.592706,-145.261,26.7698,-16.0264,-8.76608,-3.7496,1.75619
0.14,-3388.09,-3951.84,-30.2503,-1.25076,-0.684142,-145.298,26.774,-17.0951,-9.36497,-4.01357,1.73872
0.15,-3388.31,-3951.99,-30.2469,-1.42647,-0.781687,-145.338,26.7782,-18.1427,-9.95396,-4.27427,1.72142
